Name,Drive,Manufacturer,KWH,NumberofSeats,KWH_without_kwh,Acceleration_wtihout_sec,TopSpeed_wtihout_kmperhour,Range_wtihout_km,Efficiency_wtihout_Whperkm,FastChargeSpeed_wtihout_KMperHour,PriceinGermany,PriceinUK
Mercedes EQS 450+,Rear Wheel Drive,Mercedes,       107.8 kWh,5,107.8,6.2,210,640,168,840,106374.0,95000.0
Mercedes EQS 580 4MATIC,All Wheel Drive,Mercedes,       107.8 kWh,5,107.8,4.3,210,610,177,800,135529.0,115000.0
Tesla Model 3 Standard Range Plus,Rear Wheel Drive,Tesla,       50 kWh ,5,50.0,5.6,225,340,147,680,43560.0,40990.0
Polestar 2 Standard Range Single Motor,Front Wheel Drive,Polestar,       61 kWh ,5,61.0,7.4,160,350,174,450,46500.0,39900.0
Polestar 2 Long Range Single Motor,Front Wheel Drive,Polestar,       75 kWh ,5,75.0,7.4,160,425,176,550,49500.0,42900.0
Polestar 2 Long Range Dual Motor,All Wheel Drive,Polestar,       75 kWh ,5,75.0,4.7,205,395,190,510,52500.0,45900.0
Volkswagen ID.4 Pure,Rear Wheel Drive,Volkswagen,       52 kWh,5,52.0,10.9,160,285,182,410,36950.0,32150.0
Audi Q4 e-tron 40,Rear Wheel Drive,Audi,       76.6 kWh,5,76.6,8.5,160,405,189,500,47500.0,44990.0
Audi Q4 e-tron 50 quattro,All Wheel Drive,Audi,       76.6 kWh,5,76.6,6.2,180,385,199,470,53600.0,51370.0
Audi Q4 Sportback e-tron 50 quattro,All Wheel Drive,Audi,       76.6 kWh,5,76.6,6.2,180,400,192,490,55600.0,52870.0
Mercedes EQB 350 4MATIC,All Wheel Drive,Mercedes,       66.5 kWh,7,66.5,6.5,160,340,196,400,60000.0,50000.0
Volkswagen ID.4 GTX,All Wheel Drive,Volkswagen,       77 kWh,5,77.0,6.2,180,400,193,490,50415.0,55540.0
Mercedes EQA 300 4MATIC,All Wheel Drive,Mercedes,       66.5 kWh,5,66.5,7.7,160,350,190,420,53538.0,45507.299999999996
Mercedes EQA 350 4MATIC,All Wheel Drive,Mercedes,       66.5 kWh,5,66.5,6.0,160,350,190,420,56216.0,47783.6
Toyota PROACE Verso M 50 kWh,Front Wheel Drive,Toyota,       45 kWh ,7,45.0,12.1,130,185,243,250,58530.0,49750.5
Toyota PROACE Verso L 50 kWh,Front Wheel Drive,Toyota,       45 kWh ,7,45.0,12.1,130,180,250,240,59385.0,50477.25
Toyota PROACE Verso M 75 kWh,Front Wheel Drive,Toyota,       68 kWh ,7,68.0,13.1,130,270,252,290,64530.0,54850.5
Toyota PROACE Verso L 75 kWh,Front Wheel Drive,Toyota,       68 kWh ,7,68.0,13.1,130,270,252,290,65385.0,55577.25
CUPRA Born 150 kW - 62 kWh,Rear Wheel Drive,CUPRA,       58 kWh,5,58.0,7.3,160,350,166,440,36770.0,30500.0
CUPRA Born 170 kW - 62 kWh,Rear Wheel Drive,CUPRA,       58 kWh,5,58.0,6.6,160,345,168,430,39000.0,31500.0
CUPRA Born 170 kW - 82 kWh,Rear Wheel Drive,CUPRA,       77 kWh,5,77.0,7.0,160,450,171,550,43000.0,42000.0
BMW i4 M50,All Wheel Drive,BMW,       80.7 kWh,5,80.7,3.9,225,450,179,630,69900.0,63905.0
Volvo XC40 Recharge Twin Pure Electric,All Wheel Drive,Volvo,       75 kWh,5,75.0,4.9,180,340,221,440,59250.0,49950.0
Renault Megane E-Tech Electric,Front Wheel Drive,Renault,       60 kWh ,5,60.0,8.0,160,335,179,480,38000.0,32500.0
Peugeot e-Rifter Standard 50 kWh,Front Wheel Drive,Peugeot,       45 kWh ,7,45.0,11.7,135,200,225,270,37590.0,30375.0
Peugeot e-Rifter Long 50 kWh,Front Wheel Drive,Peugeot,       45 kWh ,7,45.0,11.7,135,195,231,260,42590.0,32455.0
MG Marvel R ,Rear Wheel Drive,MG,       65 kWh ,5,65.0,7.9,200,340,191,390,40000.0,34000.0
Tesla Model 3 Long Range Dual Motor,All Wheel Drive,Tesla,       76 kWh ,5,76.0,4.4,233,490,155,820,53560.0,45526.0
MG MG5 EV Long Range,Front Wheel Drive,MG,       57 kWh ,5,57.0,7.7,185,340,168,340,0.0,26495.0
Audi Q4 e-tron 45 quattro,All Wheel Drive,Audi,       76.6 kWh,5,76.6,6.9,180,385,199,470,50900.0,43265.0
Audi Q4 Sportback e-tron 40,Rear Wheel Drive,Audi,       76.6 kWh,5,76.6,8.5,160,425,180,520,49500.0,42075.0
